"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","3D Bling handmade skull Diamond crystal Case cover for iPhone6 4.7''e56  via eBay https://t.co/eeAevxRYrF",FALSE,0,NA,2015-10-20 20:04:40,FALSE,NA,"656561694181892096",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","DrEmmyJ",0,FALSE,FALSE,NA,NA
"19","Can't wait to get my iphone6 tomorrow...",FALSE,0,NA,2015-10-20 20:03:46,FALSE,NA,"656561464711499776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmmaBarrrrr",0,FALSE,FALSE,NA,NA
"20","@iPhoneTeam looks like the iPhone6 <ed><U+00A0><U+00BD><ed><U+00B1><U+0080><ed><U+00A0><U+00BD><ed><U+00B8><U+0085>",FALSE,0,"iPhoneTeam",2015-10-20 20:03:09,FALSE,"656524872076652545","656561311535382528","249527815","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Claudia_jortiz",0,FALSE,FALSE,NA,NA
"21","<U+3010>Periodic tweet<U+3011>It is a Notebook-type cover(iPhone6) that is sold in the ""BOOTH"".
<U+2605><U+2605>https://t.co/QilCuVBiLF",FALSE,0,NA,2015-10-20 20:02:51,FALSE,NA,"656561236864167936",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","bonderingo",0,FALSE,FALSE,NA,NA
"22","RT @HarithIskander: KL. Taken with an iPhone6. It should b a billboard ad https://t.co/apvjGXyNKT",FALSE,0,NA,2015-10-20 20:02:45,FALSE,NA,"656561209857015808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_mhdarif",2883,TRUE,FALSE,NA,NA
"23","These all look like they are coming from the same company... Or the same designers.. #iPhone6 #Galaxys6 #HTCOneA9 https://t.co/owcPz544XO",FALSE,0,NA,2015-10-20 20:02:40,FALSE,NA,"656561191167401984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GuyWithTheCoupe",0,FALSE,FALSE,NA,NA
"24","iPhone 6s | iPhone 6s Plus Leather Sleeve | RUM DIARY | https://t.co/jREQIWcHQD | #iPhone6s #iPhone6sPlus #iPhone6sSleeve",FALSE,0,NA,2015-10-20 20:02:33,FALSE,NA,"656561160674758656",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"25","iPhone 6 Organic Leather Sleeve/Cover | CHARACTER | https://t.co/1VmLR60g2V | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6C…",FALSE,0,NA,2015-10-20 20:02:33,FALSE,NA,"656561160012111872",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"26","iPhone 6 | 6 Plus Leather Sleeve | JALAPEñO | https://t.co/0TxUqq0MDe | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6Case",FALSE,0,NA,2015-10-20 20:02:27,FALSE,NA,"656561135831949313",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","crafterei",0,FALSE,FALSE,NA,NA
"27","iPhone 6s | iPhone 6s Plus Leather Sleeve | SKY &amp; SAND | https://t.co/Ag41iFITHK | #iPhone6s #iPhone6sPlus #iPhone6sSleeve #iPhone6sCase",FALSE,0,NA,2015-10-20 20:02:26,FALSE,NA,"656561129242669056",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"28","iPhone 6s / iPhone 6s Plus Leather Sleeve | CrissCross | https://t.co/4qjRZoRyTw | #iPhone6s #iPhone6sPlus #iPhone6sSleeve #iPhone6sPlusCa…",FALSE,0,NA,2015-10-20 20:02:21,FALSE,NA,"656561111207165953",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"29","Photo: Custom cover of the day. #iphonecase #iphone6 #customcase #apple #iphone6s #lasercut https://t.co/qa3jPEjMcu",FALSE,0,NA,2015-10-20 20:02:19,FALSE,NA,"656561100130025472",NA,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","Toastmade",0,FALSE,FALSE,NA,NA
"30","Custom cover of the day.  #iphonecase #iphone6 #customcase #apple #iphone6s #lasercut https://t.co/7k4jXNm50E",FALSE,0,NA,2015-10-20 20:02:17,FALSE,NA,"656561094564184064",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Toastmade",0,FALSE,FALSE,NA,NA
"31","iPhone 6 | 6 Plus Leather Sleeve | PAW | https://t.co/Hq7lBbZwJA | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #Dog #Dogs #Pet",FALSE,0,NA,2015-10-20 20:02:04,FALSE,NA,"656561037647441920",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"32","iPhone 6 | iPhone 6 Plus Sleeve | BLUEBERRY MANGO SMOOTHIE | https://t.co/N4kX6hZDz3 | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover",FALSE,0,NA,2015-10-20 20:02:02,FALSE,NA,"656561028998803456",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"33","iPhone 6 | 6 Plus Leather Sleeve | BASE | https://t.co/BbQhQREP1l | #iphone6 #iPhone6Plus #iphone6Sleeve #iphone6Case #iphone6PlusSleeve",FALSE,0,NA,2015-10-20 20:01:56,FALSE,NA,"656561004818616320",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"34","iPhone 6 | &amp; Plus Sleeve/Case | ORIGIN | https://t.co/PDFE4BPeKd | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Plus #iPhone6PlusSleeve",FALSE,0,NA,2015-10-20 20:01:47,FALSE,NA,"656560968558903296",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","crafterei",0,FALSE,FALSE,NA,NA
"35","Wallet for iPhone | HIT THE ROAD Organic Leather | https://t.co/xXIabFc7Xj | #iPhone6 #iPhone6Wallet #iPhone6Sleeve #iPhone4 #iPhone5Wallet",FALSE,0,NA,2015-10-20 20:01:46,FALSE,NA,"656560964310028288",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"36","Starting Now!!! FREE SHIPPING | Worldwide @ https://t.co/FqQCdBnPDp | #sleeve #organicsleeve #leathersleeve #feltsleeve",FALSE,0,NA,2015-10-20 20:01:35,FALSE,NA,"656560916130086912",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"37","Leather|Felt Sleeve for iPhone 6|Plus | TWICE | https://t.co/JYVg3uN8o2 | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6Pouch",FALSE,0,NA,2015-10-20 20:01:35,FALSE,NA,"656560915660279808",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","filzstueck",0,FALSE,FALSE,NA,NA
"38","Leather|Felt Sleeve for iPhone 6|Plus | TWICE | https://t.co/RVmrMXKLRv | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6Pouch",FALSE,0,NA,2015-10-20 20:01:34,FALSE,NA,"656560914225831936",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iPad_Pouch",0,FALSE,FALSE,NA,NA
"39","Leather Sleeve for iPhone 6 |Plus | MOTLEY CREW | https://t.co/GMzD2Q3pWf | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6Pou…",FALSE,0,NA,2015-10-20 20:01:32,FALSE,NA,"656560903060635648",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"40","iPhone 6 | iPhone6Plus Tasche | PUMPKIN |  https://t.co/crcIMPBCxh | | #iPhone6 #iPhone6Plus #iPhone6Tasche #iPhone6Huelle #iPhone6Cover",FALSE,0,NA,2015-10-20 20:01:26,FALSE,NA,"656560880990187520",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"41","iPhone 6 Organic Leather Sleeve/Case | PAPAYA | https://t.co/YZ3PbDqDz0 | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6Case",FALSE,0,NA,2015-10-20 20:01:21,FALSE,NA,"656560859926413312",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"42","RT @hemantbuch: A room with a view #Onthesidelines #PakvEng #BurjKhalifa #Dubai #Timelapse #Iphone6 https://t.co/AQjbSDPh5m",FALSE,0,NA,2015-10-20 20:01:17,FALSE,NA,"656560842880753664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AsharJawad",5,TRUE,FALSE,NA,NA
"43","iPhone 6 Organic Leather Sleeve/Cover KAMPENWAND | https://t.co/hfzLavFzXF | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6Ca…",FALSE,0,NA,2015-10-20 20:01:05,FALSE,NA,"656560792456843264",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"44","iPhone 6 Organic Leather Sleeve/Case | RINGO | https://t.co/QiwHW9X4Kt | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6Case",FALSE,0,NA,2015-10-20 20:01:01,FALSE,NA,"656560773922226176",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"45","iPhone 6|iPhone 6 Plus Organic Leather Sleeve/Cover | PUMPKIN | https://t.co/tug7BPTyPE | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover",FALSE,0,NA,2015-10-20 20:01:01,FALSE,NA,"656560773624369152",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
"46","iPhone 6|iPhone 6 Plus Organic Leather Sleeve/Cover | PUMPKIN | https://t.co/rAE3E4G1fH | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover",FALSE,0,NA,2015-10-20 20:00:55,FALSE,NA,"656560748651532289",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","crafterei",0,FALSE,FALSE,NA,NA
"47","iPhone 6 Organic Leather Sleeve/Cover | LEBOWSKI | https://t.co/OULSXqs9QJ | #iPhone6 #iPhone6Plus #iPhone6Sleeve #iPhone6Cover #iPhone6Ca…",FALSE,0,NA,2015-10-20 20:00:53,FALSE,NA,"656560740959174657",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iphone6_sleeves",0,FALSE,FALSE,NA,NA
