"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"84","#deals Denver Black.Code EDP  -  50 ml is selling cheaper at INR 164 today https://t.co/B3oQSXFoGg #flipkart",FALSE,0,NA,2015-10-20 15:16:17,FALSE,NA,"656489117732093952",NA,"<a href=""http://www.fliptrak.in"" rel=""nofollow"">fliptrak-node</a>","pricetrak",0,FALSE,FALSE,NA,NA
"85","Dishonored PS4 33% Off @ Rs 1999
https://t.co/q3MIYeQyW8
#flipkart #Dishonored #PS4 #Bethesda #ArkaneStudios #Deals #Offers",FALSE,0,NA,2015-10-20 15:13:09,FALSE,NA,"656488328791916545",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shahidchess",0,FALSE,FALSE,NA,NA
"86","Get a free ride on uber on registering with this code ( SUSHILK1064UE ) . #jabong #amazon #flipkart #snapdeal #uberindia #Uber #Freeuber",FALSE,0,NA,2015-10-20 15:10:29,FALSE,NA,"656487658567409664",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Sahil_Xd",0,FALSE,FALSE,NA,NA
"87","#Flipkart Launches Second Version Of Its Seller's #App With Improved Features https://t.co/VCrfSkFE1D https://t.co/XJt2dI16da",FALSE,0,NA,2015-10-20 15:10:26,FALSE,NA,"656487648194928640",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","MobileApp_Hub",0,FALSE,FALSE,NA,NA
"88","pricetrak: RT https://t.co/VpeF8N4pup #deals Nexus 5 is selling cheaper at INR 26990 today https://t.co/cdlXE7pccw #flipkart",FALSE,0,NA,2015-10-20 15:09:13,FALSE,NA,"656487339120832512",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Rocking_Virat",0,FALSE,FALSE,NA,NA
"89","RT @nabindust: #Techerina From The Mountain To The Ocean, Available in #Flipkart https://t.co/yRteepW8YW @RunwithRoshni https://t.co/lrRbQY…",FALSE,0,NA,2015-10-20 15:08:47,FALSE,NA,"656487229980811264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DipendraDipzo",5,TRUE,FALSE,NA,NA
"90","#deals Nexus 5 is selling cheaper at INR 26990 today https://t.co/jbRRIXDKg5 #flipkart",FALSE,0,NA,2015-10-20 15:08:12,FALSE,NA,"656487084123750401",NA,"<a href=""http://www.fliptrak.in"" rel=""nofollow"">fliptrak-node</a>","pricetrak",0,FALSE,FALSE,NA,NA
"91","The best deals seems to be employee perks :)
#Ecom #sales #india #flipkart #Amazon #Snapdeal #PayTM  https://t.co/zeIUdziAMq",FALSE,0,NA,2015-10-20 14:35:53,FALSE,NA,"656478953612316672",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","zentosh",0,FALSE,FALSE,NA,NA
"92","#Flipkart Download best #FlipkartApp 4 #Android #iOS #Windows Mre offers on #mobileapp : https://t.co/cRqT4SYByl https://t.co/Baj7X6lKVk",FALSE,0,NA,2015-10-20 14:32:27,FALSE,NA,"656478088453332992",NA,"<a href=""http://www.simplycast.com"" rel=""nofollow"">SimplyCast</a>","DealsBasket",0,FALSE,FALSE,NA,NA
"93","#Flipkart Download best #FlipkartApp 4 #Android #iOS #Windows Mre offers on #mobileapp : https://t.co/vNCdC1ZFMy https://t.co/mfGgwn0LjL",FALSE,0,NA,2015-10-20 14:32:26,FALSE,NA,"656478081276858368",NA,"<a href=""http://www.simplycast.com"" rel=""nofollow"">SimplyCast</a>","Tweetrameshwar",0,FALSE,FALSE,NA,NA
"94","#Flipkart Download best #FlipkartApp 4 #Android #iOS #Windows Mre offers on #mobileapp : https://t.co/DmtXeujHBi https://t.co/Oe7pLpmyf4",FALSE,0,NA,2015-10-20 14:32:24,FALSE,NA,"656478073852948480",NA,"<a href=""http://www.simplycast.com"" rel=""nofollow"">SimplyCast</a>","ONLYOffers1",0,FALSE,FALSE,NA,NA
"95","@PawarViney @Flipkart Its been 3 hours they promised to look into it but no progress.Move to @amazonIN Horrible #customercare for #flipkart",FALSE,0,"PawarViney",2015-10-20 14:24:23,FALSE,"656473762003468288","656476059173392384","3958396519","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Biju_Pillai76",0,FALSE,FALSE,NA,NA
